"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent"
"1","PYO",2.08e+08,20,70,1264,1010000,6241,TRUE,1769600,0.9,"no"
"2","LWI",1.48e+08,20,70,1088,347130,4697,FALSE,1523200,1,"no"
"3","LWI",1.5e+08,40,70,1166,700940,7601,TRUE,3264800,2.2,"no"
"4","LWI",1.51e+08,60,70,1307,676680,10713,TRUE,5489400,3.6,"no"
"5","WCZ",8.4e+08,20,70,2140,612038,12249,TRUE,2996000,0.4,"no"
"6","WCZ",8.45e+08,40,70,2128,877213,16217,TRUE,5958400,0.7,"no"
"7","WCZ",8.5e+08,60,70,2306,1390000,29097,TRUE,9685200,1.1,"no"
"8","ZVB",7.95e+08,20,70,2107,406341,18145,FALSE,2949800,0.4,"no"
"9","ZVB",7.99e+08,40,70,2188,1010000,22393,TRUE,6126400,0.8,"no"
"10","PJJ",95600000,20,70,672,547000,4065,TRUE,940800,1,"no"
"11","PJJ",96800000,40,70,774,1010000,5329,TRUE,2167200,2.2,"no"
"12","PJJ",98300000,60,70,894,1550000,8113,TRUE,3754800,3.8,"no"
"13","QWZ",1.87e+08,20,70,1015,461000,6448,FALSE,1421000,0.8,"no"
"14","QWZ",1.88e+08,40,70,1100,939000,6991,TRUE,3080000,1.6,"no"
"15","QWZ",1.9e+08,60,70,1256,1420000,9945,TRUE,5275200,2.8,"no"
"16","HFL",3.21e+08,20,70,3531,597000,592,TRUE,4943400,1.5,"no"
"17","HFL",3.28e+08,40,70,3342,1320000,1,TRUE,9357600,2.9,"no"
"18","HFL",3.35e+08,60,70,3387,1440000,14257,TRUE,14225400,4.2,"no"
"19","BSS",1.11e+08,20,70,1074,346000,4393,FALSE,1503600,1.4,"no"
"20","BSS",1.13e+08,40,70,1168,742000,6393,TRUE,3270400,2.9,"no"
"21","BSS",1.15e+08,60,70,1267,1130000,8281,TRUE,5321400,4.6,"no"
"22","BCS",1.45e+08,20,70,1935,494000,4873,FALSE,2709000,1.9,"no"
"23","BCS",1.48e+08,40,70,2193,790000,2489,TRUE,6140400,4.1,"no"
"24","BCS",1.52e+08,60,70,2280,718000,32065,TRUE,9576000,6.3,"no"
"25","RGN",1.05e+09,40,70,4863,1110000,23097,TRUE,13616400,1.3,"no"
"26","RGN",1.06e+09,60,70,4883,1460000,25385,TRUE,20508600,1.9,"no"
"27","FPS",1.2e+09,40,70,4937,770000,26409,TRUE,13823600,1.2,"no"
"28","FPS",1.2e+09,60,70,5020,1220000,26153,TRUE,21084000,1.8,"no"
"29","WXE",1.1e+09,40,70,3715,812734,23369,TRUE,10402000,0.9,"no"
"30","WXE",1.11e+09,60,70,4065,1390000,29537,TRUE,17073000,1.5,"no"
"31","IWV",1.02e+09,40,70,3143,1060000,14889,TRUE,8800400,0.9,"no"
"32","RFC",1.61e+08,20,70,1502,377000,8641,FALSE,2102800,1.3,"no"
"33","RFC",1.64e+08,40,70,1542,663000,7081,TRUE,4317600,2.6,"no"
"34","RFC",1.67e+08,60,70,1695,753516,12945,TRUE,7119000,4.3,"no"
"35","MUX",9.46e+08,20,70,1497,421000,86337,FALSE,2095800,0.2,"no"
"36","MUX",9.5e+08,40,70,1502,942000,15289,TRUE,4205600,0.4,"no"
"37","MUX",9.54e+08,60,70,1622,1440000,30545,TRUE,6812400,0.7,"no"
"38","XLL",9.25e+08,20,70,5121,399000,132329,FALSE,7169400,0.8,"no"
"39","XLL",9.33e+08,40,70,5197,654000,100401,TRUE,14551600,1.6,"no"
"40","XLL",9.41e+08,60,70,5277,866668,145489,TRUE,22163400,2.4,"no"
"41","RPD",8.86e+08,20,70,2687,341000,66401,FALSE,3761800,0.4,"no"
"42","RPD",8.91e+08,40,70,2808,640000,92849,TRUE,7862400,0.9,"no"
"43","RPD",8.96e+08,60,70,3195,952410,23649,TRUE,13419000,1.5,"no"
"44","VVV",8.71e+08,40,70,3210,601000,105137,TRUE,8988000,1,"no"
"45","VVV",8.77e+08,60,70,3443,846308,110617,TRUE,14460600,1.6,"no"
"46","IKY",30300000,20,70,513,283000,8169,FALSE,718200,2.4,"no"
"47","IKY",31100000,40,70,567,606496,2977,FALSE,1587600,5.1,"no"
"48","IKY",32200000,60,70,722,830696,4769,TRUE,3032400,9.4,"no"
"49","BRW",5.68e+08,20,70,2681,408591,50369,NA,3753400,0.7,"no"
"50","BRW",5.72e+08,40,70,2777,727791,13985,NA,7775600,1.4,"no"
"51","BRW",5.76e+08,60,70,2978,1140000,17681,NA,12507600,2.2,"no"
"52","IFE",1.06e+09,20,70,2104,414000,272993,FALSE,2945600,0.3,"no"
"53","IFE",1.07e+09,40,70,2173,1070000,24321,TRUE,6084400,0.6,"no"
"54","IFE",1.07e+09,60,70,2384,1430000,21233,TRUE,10012800,0.9,"no"
"55","LJK",7.62e+08,20,70,3228,953040,361,TRUE,4519200,0.6,"no"
"56","LJK",7.67e+08,40,70,3323,1390000,2465,TRUE,9304400,1.2,"no"
"57","LJK",7.72e+08,60,70,3465,1640000,3185,TRUE,14553000,1.9,"no"
"58","FRJ",3.97e+08,20,70,1426,606109,8065,TRUE,1996400,0.5,"no"
"59","FRJ",4e+08,40,70,1490,1310000,11809,TRUE,4172000,1,"no"
"60","CHG",3.78e+08,20,70,1942,386983,14113,FALSE,2718800,0.7,"no"
"61","CHG",3.82e+08,40,70,2015,700574,11409,TRUE,5642000,1.5,"no"
"62","CHG",3.85e+08,60,70,2175,1080000,18977,TRUE,9135000,2.4,"no"
"63","ZTI",6.09e+08,20,70,2292,349235,83073,NA,3208800,0.5,"no"
"64","ZTI",6.12e+08,40,70,2341,729406,13369,NA,6554800,1.1,"no"
"65","ZTI",6.16e+08,60,70,2487,1380000,17721,NA,10445400,1.7,"no"
"66","BST",5.16e+08,20,70,2072,385529,41785,NA,2900800,0.6,"no"
"67","BST",5.19e+08,40,70,2145,603416,13833,NA,6006000,1.2,"no"
"68","BST",5.22e+08,60,70,2285,953121,19753,NA,9597000,1.8,"no"
"69","PYO",2.6e+08,20,90,1287,836109,7801,TRUE,2316600,0.9,"no"
"70","PYO",2.63e+08,40,90,1386,1430000,15381,TRUE,4989600,1.9,"no"
"71","LWI",1.85e+08,20,90,1089,284279,38401,FALSE,1960200,1.1,"no"
"72","LWI",1.87e+08,40,90,1166,579371,9501,TRUE,4197600,2.2,"no"
"73","LWI",1.9e+08,60,90,1310,979934,13391,TRUE,7074000,3.7,"no"
"74","WCZ",1.05e+09,20,90,2194,401105,15311,TRUE,3949200,0.4,"no"
"75","WCZ",1.06e+09,40,90,2126,639210,20271,TRUE,7653600,0.7,"no"
"76","WCZ",1.06e+09,60,90,2354,1050000,36371,TRUE,12711600,1.2,"no"
"77","ZVB",9.94e+08,20,90,2107,393924,62411,FALSE,3792600,0.4,"no"
"78","ZVB",9.99e+08,40,90,2171,769006,27991,TRUE,7815600,0.8,"no"
"79","ZVB",1.01e+09,60,90,2256,1130000,30341,TRUE,12182400,1.2,"no"
"80","PJJ",1.2e+08,20,90,673,388346,5081,TRUE,1211400,1,"no"
"81","PJJ",1.21e+08,40,90,800,715810,661,TRUE,2880000,2.4,"no"
"82","PJJ",1.23e+08,60,90,893,1130000,10141,TRUE,4822200,3.9,"no"
"83","QWZ",2.33e+08,20,90,1015,337717,33501,FALSE,1827000,0.8,"no"
"84","QWZ",2.35e+08,40,90,1097,704889,8741,TRUE,3949200,1.7,"no"
"85","QWZ",2.37e+08,60,90,1310,1090000,12431,TRUE,7074000,3,"no"
"86","HFL",4.02e+08,20,90,3551,687511,12431,TRUE,6391800,1.6,"no"
"87","HFL",4.1e+08,40,90,3460,1410000,1,TRUE,12456000,3,"no"
"88","HFL",4.19e+08,60,90,3372,1430000,17821,TRUE,18208800,4.3,"no"
"89","BSS",1.42e+08,40,90,1202,522666,7771,TRUE,4327200,3,"no"
"90","BSS",1.44e+08,60,90,1289,782313,10351,TRUE,6960600,4.8,"no"
"91","BCS",1.81e+08,20,90,1954,354366,6091,FALSE,3517200,1.9,"no"
"92","BCS",1.85e+08,40,90,2148,595596,3111,TRUE,7732800,4.2,"no"
"93","BCS",1.91e+08,60,90,2346,548437,40081,TRUE,12668400,6.6,"no"
"94","RGN",1.31e+09,40,90,4849,816141,21721,TRUE,17456400,1.3,"no"
"95","RGN",1.32e+09,60,90,4861,1150000,31731,TRUE,26249400,2,"no"
"96","FPS",1.5e+09,40,90,5277,462263,229531,TRUE,18997200,1.3,"no"
"97","FPS",1.51e+09,60,90,5584,653836,242271,TRUE,30153600,2,"no"
"98","WXE",1.37e+09,20,90,3662,252174,118591,FALSE,6591600,0.5,"no"
"99","WXE",1.38e+09,40,90,3730,635221,36481,TRUE,13428000,1,"no"
"100","WXE",1.39e+09,60,90,4103,1010000,36921,TRUE,22156200,1.6,"no"
"101","IWV",1.27e+09,40,90,3223,810763,18611,TRUE,11602800,0.9,"no"
"102","IWV",1.28e+09,60,90,3411,1160000,41441,TRUE,18419400,1.4,"no"
"103","RFC",2.01e+08,20,90,1529,351800,10801,FALSE,2752200,1.4,"no"
"104","RFC",2.05e+08,40,90,1582,456319,8851,TRUE,5695200,2.8,"no"
"105","RFC",2.09e+08,60,90,1696,539108,NA,TRUE,9158400,4.4,"no"
"106","MUX",1.19e+09,40,90,1537,803356,20711,TRUE,5533200,0.5,"no"
"107","MUX",1.19e+09,60,90,1646,1250000,30221,TRUE,8888400,0.7,"no"
"108","XLL",1.16e+09,20,90,5088,402691,165411,FALSE,9158400,0.8,"no"
"109","XLL",1.17e+09,40,90,4937,531813,153561,TRUE,17773200,1.5,"no"
"110","XLL",1.18e+09,60,90,5271,710095,206851,TRUE,28463400,2.4,"no"
"111","RPD",1.11e+09,20,90,2685,320532,44551,FALSE,4833000,0.4,"no"
"112","RPD",1.11e+09,40,90,2673,543132,22291,TRUE,9622800,0.9,"no"
"113","VVV",1.1e+09,60,90,3423,723311,49601,TRUE,18484200,1.7,"no"
"114","IKY",37900000,20,90,511,231173,10211,FALSE,919800,2.4,"no"
"115","IKY",3.9e+07,40,90,569,526856,4644,FALSE,2048400,5.3,"no"
"116","IKY",40700000,60,90,721,570303,5961,TRUE,3893400,9.6,"no"
"117","BRW",7.1e+08,20,90,2706,365267,62961,NA,4870800,0.7,"no"
"118","BRW",7.15e+08,40,90,2799,594815,17481,NA,10076400,1.4,"no"
"119","IFE",1.33e+09,20,90,2105,356147,3471,FALSE,3789000,0.3,"no"
"120","IFE",1331920000,40,90,2175,948099,30401,TRUE,7830000,0.6,"no"
"121","IFE",1.34e+09,60,90,2391,1230000,26541,TRUE,12911400,1,"no"
"122","LJK",9.53e+08,20,90,3248,713316,441,TRUE,5846400,0.6,"no"
"123","LJK",9.59e+08,40,90,3331,1110000,3081,TRUE,11991600,1.3,"no"
"124","LJK",966860000,60,90,3472,1450000,27791,TRUE,18748800,1.9,"no"
"125","FRJ",4.96e+08,20,90,1429,461727,10081,TRUE,2572200,0.5,"no"
"126","FRJ",4.99e+08,40,90,1498,1040000,18781,TRUE,5392800,1.1,"no"
"127","FRJ",5.03e+08,60,90,1606,1360000,19241,TRUE,8672400,1.7,"no"
"128","CHG",4.73e+08,20,90,2183,324781,33151,FALSE,3929400,0.8,"no"
"129","CHG",4.75e+08,40,90,2291,474678,47581,TRUE,8247600,1.7,"no"
"130","CHG",4.81e+08,60,90,2749,824000,14381,TRUE,14844600,3.1,"no"
"131","ZTI",7.61e+08,20,90,2291,308135,103841,NA,4123800,0.5,"no"
"132","ZTI",7.66e+08,40,90,2340,546582,18561,NA,8424000,1.1,"no"
"133","ZTI",7.71e+08,60,90,2479,1080000,22151,NA,13386600,1.7,"no"
"134","BST",6.45e+08,20,90,2069,392200,52242,NA,3724200,0.6,"no"
"135","BST",6.49e+08,40,90,2145,497019,134211,NA,7722000,1.2,"no"
"136","BST",6.53e+08,60,90,2281,809856,20861,NA,12317400,1.9,"no"
"137","PYO",2.07e+08,20,70,631,830563,6729,TRUE,883400,0.4,"yes"
"138","PYO",2.08e+08,40,70,698,1320000,9657,TRUE,1954400,0.9,"yes"
"139","LWI",14700000,20,70,464,244964,9665,FALSE,649600,4.4,"yes"
"140","LWI",1.48e+08,40,70,480,448138,7601,TRUE,1344000,0.9,"yes"
"141","LWI",1.49e+08,60,70,553,804571,10553,TRUE,2322600,1.6,"yes"
"142","WCZ",8.4e+08,20,70,1536,603904,12249,TRUE,2150400,0.3,"yes"
"143","WCZ",8.44e+08,40,70,1526,808843,16217,TRUE,4272800,0.5,"yes"
"144","WCZ",8.48e+08,60,70,1813,1260000,29097,TRUE,7614600,0.9,"yes"
"145","ZVB",7.93e+08,20,70,529,252051,81889,FALSE,740600,0.1,"yes"
"146","ZVB",7.95e+08,40,70,599,435589,56105,TRUE,1677200,0.2,"yes"
"147","ZVB",7.97e+08,60,70,794,620180,27593,TRUE,3334800,0.4,"yes"
"148","PJJ",95200000,20,70,330,414829,4791,TRUE,462000,0.5,"yes"
"149","PJJ",9600000,40,70,385,812750,5329,TRUE,1078000,11.2,"yes"
"150","PJJ",97100000,60,70,430,1300000,8113,TRUE,1806000,1.9,"yes"
"151","QWZ",1.86e+08,20,70,496,390005,26801,FALSE,694400,0.4,"yes"
"152","QWZ",2.35e+08,40,70,555,799308,9337,TRUE,1554000,0.7,"yes"
"153","QWZ",1.88e+08,60,70,616,1220000,11929,TRUE,2587200,1.4,"yes"
"154","HFL",3.19e+08,20,70,1694,1170000,9833,TRUE,2371600,0.7,"yes"
"155","BSS",1.11e+08,20,70,645,300461,4393,FALSE,903000,0.8,"yes"
"156","BSS",1.12e+08,40,70,780,562983,6129,TRUE,2184000,2,"yes"
"157","BSS",1.14e+08,60,70,865,896867,8305,TRUE,3633000,3.2,"yes"
"158","BCS",1.43e+08,20,70,274,341803,4873,FALSE,383600,0.3,"yes"
"159","BCS",1.44e+08,40,70,316,719552,2489,TRUE,884800,0.6,"yes"
"160","BCS",1.46e+08,60,70,418,712799,9217,TRUE,1755600,1.2,"yes"
"161","RGN",1.04e+09,40,70,2307,1080000,23097,TRUE,6459600,0.6,"yes"
"162","RGN",1.05e+09,60,70,2355,1380000,25385,TRUE,9891000,0.9,"yes"
"163","FPS",1.18e+09,20,70,2911,463507,16217,FALSE,4075400,0.3,"yes"
"164","FPS",1.19e+09,40,70,2936,1030000,22481,TRUE,8220800,0.7,"yes"
"165","FPS",1.2e+09,60,70,3116,1380000,29317,TRUE,13087200,1.1,"yes"
"166","WXE",1.09e+09,40,70,994,1130000,29321,TRUE,2783200,0.3,"yes"
"167","IWV",1.01e+09,40,70,1360,1140000,14889,TRUE,3808000,0.4,"yes"
"168","IWV",1.01e+09,60,70,1499,1530000,26345,TRUE,6295800,0.6,"yes"
"169","RFC",1.6e+08,20,70,964,355469,20465,FALSE,1349600,0.8,"yes"
"170","RFC",1.63e+08,40,70,1051,550848,7081,TRUE,2942800,1.8,"yes"
"171","MUX",9.48e+08,40,70,925,709085,51537,TRUE,2590000,0.3,"yes"
"172","MUX",9.52e+08,60,70,999,1090000,257697,TRUE,4195800,0.4,"yes"
"173","XLL",9.22e+08,20,70,2684,417171,132329,FALSE,3757600,0.4,"yes"
"174","XLL",9.26e+08,40,70,2893,695037,122849,TRUE,8100400,0.9,"yes"
"175","XLL",9.31e+08,60,70,2881,1e+06,22025,TRUE,12100200,1.3,"yes"
"176","RPD",8.83e+08,20,70,454,277762,33745,FALSE,635600,0.1,"yes"
"177","RPD",8.85e+08,40,70,609,543106,23225,TRUE,1705200,0.2,"yes"
"178","RPD",8.87e+08,60,70,801,890962,25657,TRUE,3364200,0.4,"yes"
"179","VVV",8.64e+08,20,70,1398,277028,76129,FALSE,1957200,0.2,"yes"
"180","VVV",8.7e+08,60,70,1680,790026,26057,TRUE,7056000,0.8,"yes"
"181","BRW",5.67e+08,20,70,1804,412969,82665,NA,2525600,0.4,"yes"
"182","BRW",5.7e+08,40,70,1860,696000,90873,NA,5208000,0.9,"yes"
"183","BRW",5.72e+08,60,70,1973,1018930,17681,NA,8286600,1.4,"yes"
"184","IKY",3e+07,20,70,358,238117,8169,FALSE,501200,1.7,"yes"
"185","IKY",30700000,40,70,377,460303,2977,FALSE,1055600,3.4,"yes"
"186","IKY",31500000,60,70,555,626491,4769,TRUE,2331000,7.4,"yes"
"187","IFE",1.06e+09,20,70,987,644632,6817,FALSE,1381800,0.1,"yes"
"188","IFE",1.06e+09,40,70,1151,1270000,13713,TRUE,3222800,0.3,"yes"
"189","LJK",7.61e+08,20,70,2090,970012,353,TRUE,2926000,0.4,"yes"
"190","LJK",7.64e+08,40,70,2238,1480000,2465,TRUE,6266400,0.8,"yes"
"191","FRJ",3.96e+08,20,70,747,521915,6705,TRUE,1045800,0.3,"yes"
"192","FRJ",3.98e+08,40,70,788,1160000,15585,TRUE,2206400,0.6,"yes"
"193","CHG",3.76e+08,20,70,685,415363,7513,FALSE,959000,0.3,"yes"
"194","CHG",3.78e+08,40,70,784,784168,7801,TRUE,2195200,0.6,"yes"
"195","CHG",3.8e+08,60,70,864,1150000,16457,TRUE,3628800,1,"yes"
"196","ZTI",6.07e+08,20,70,1199,328794,11689,NA,1678600,0.3,"yes"
"197","ZTI",6.09e+08,40,70,1369,579674,17665,NA,3833200,0.6,"yes"
"198","ZTI",6.12e+08,60,70,1391,861034,17433,NA,5842200,1,"yes"
"199","BST",5.14e+08,20,70,1116,341815,14193,NA,1562400,0.3,"yes"
"200","BST",5.16e+08,40,70,1151,655530,10249,NA,3222800,0.6,"yes"
"201","BST",5.18e+08,60,70,1267,1030000,16561,NA,5321400,1,"yes"
"202","PYO",2.59e+08,20,90,692,605925,8411,TRUE,1245600,0.5,"yes"
"203","PYO",2.61e+08,40,90,777,1290000,15381,TRUE,2797200,1.1,"yes"
"204","LWI",1.84e+08,20,90,518,238497,8232,FALSE,932400,0.5,"yes"
"205","LWI",1.85e+08,40,90,573,354241,9501,TRUE,2062800,1.1,"yes"
"206","LWI",1.87e+08,60,90,712,605787,13191,TRUE,3844800,2.1,"yes"
"207","WCZ",1.05e+09,20,90,1562,462113,122342,TRUE,2811600,0.3,"yes"
"208","WCZ",1.06e+09,40,90,1577,565916,20271,TRUE,5677200,0.5,"yes"
"209","ZVB",7.97e+08,40,90,796,352414,70131,TRUE,2865600,0.4,"yes"
"210","PJJ",1.19e+08,20,90,373,288079,5081,TRUE,671400,0.6,"yes"
"211","PJJ",1.2e+08,40,90,479,565576,6661,TRUE,1724400,1.4,"yes"
"212","PJJ",1.21e+08,60,90,552,921000,10141,TRUE,2980800,2.5,"yes"
"213","QWZ",2.33e+08,20,90,556,295114,33501,FALSE,1000800,0.4,"yes"
"214","QWZ",2.34e+08,40,90,642,557504,11671,TRUE,2311200,1,"yes"
"215","QWZ",2.35e+08,60,90,776,866000,14911,TRUE,4190400,1.8,"yes"
"216","HFL",3.99e+08,20,90,1818,956000,12291,TRUE,3272400,0.8,"yes"
"217","HFL",4.05e+08,40,90,1832,1560000,11951,TRUE,6595200,1.6,"yes"
"218","BSS",1.39e+08,20,90,806,314637,2574,FALSE,1450800,1,"yes"
"219","BSS",1.41e+08,40,90,880,389553,7881,TRUE,3168000,2.2,"yes"
"220","BSS",1.42e+08,60,90,1005,597423,10381,TRUE,5427000,3.8,"yes"
"221","BCS",1.8e+08,40,90,403,653155,5841,TRUE,1450800,0.8,"yes"
"222","BCS",1.82e+08,60,90,592,466802,11521,TRUE,3196800,1.8,"yes"
"223","RGN",1.3e+09,40,90,2361,841000,28871,TRUE,8499600,0.7,"yes"
"224","RGN",1.31e+09,60,90,2443,1070000,31731,TRUE,13192200,1,"yes"
"225","FPS",1.48e+09,20,90,2962,387287,68331,FALSE,5331600,0.4,"yes"
"226","FPS",1.49e+09,40,90,3099,798000,28101,TRUE,11156400,0.7,"yes"
"227","FPS",1.5e+09,60,90,3797,1090000,36421,TRUE,20503800,1.4,"yes"
"228","WXE",1.37e+09,40,90,1019,849000,36651,TRUE,3668400,0.3,"yes"
"229","IWV",1.26e+09,40,90,1434,894000,18611,TRUE,5162400,0.4,"yes"
"230","IWV",1.27e+09,60,90,1617,1210000,32931,TRUE,8731800,0.7,"yes"
"231","RFC",2e+08,20,90,1002,333408,25581,FALSE,1803600,0.9,"yes"
"232","RFC",2.04e+08,40,90,1088,388167,48431,TRUE,3916800,1.9,"yes"
"233","MUX",1.85e+09,40,90,956,603972,64421,TRUE,3441600,0.2,"yes"
"234","MUX",1.89e+09,60,90,1131,933000,322121,TRUE,6107400,0.3,"yes"
"235","XLL",1.53e+09,20,90,2686,419766,165411,FALSE,4834800,0.3,"yes"
"236","XLL",1.16e+09,40,90,2798,580248,60161,TRUE,10072800,0.9,"yes"
"237","XLL",1.16e+09,60,90,2885,846000,38551,TRUE,15579000,1.3,"yes"
"238","RPD",1.11e+09,40,90,590,367012,43161,TRUE,2124000,0.2,"yes"
"239","RPD",1.11e+09,60,90,710,594473,32071,TRUE,3834000,0.3,"yes"
"240","VVV",1.08e+09,40,90,1454,464587,131421,TRUE,5234400,0.5,"yes"
"241","VVV",1.09e+09,60,90,1637,611227,85161,TRUE,8839800,0.8,"yes"
"242","BRW",7.08e+08,20,90,1784,334470,103331,NA,3211200,0.5,"yes"
"243","BRW",7.12e+08,40,90,1867,559540,124971,NA,6721200,0.9,"yes"
"244","BRW",7.16e+08,60,90,1978,893171,22101,NA,10681200,1.5,"yes"
"245","IKY",39400000,60,90,617,626491,5961,TRUE,3331800,8.5,"yes"
"246","IFE",1.33e+09,20,90,1074,433881,8521,FALSE,1933200,0.1,"yes"
"247","IFE",1.33e+09,40,90,1138,966000,17141,TRUE,4096800,0.3,"yes"
"248","IFE",1.33e+09,60,90,1330,1420000,26671,TRUE,7182000,0.5,"yes"
"249","LJK",9.5e+08,20,90,2146,732337,441,TRUE,3862800,0.4,"yes"
"250","LJK",9.55e+08,40,90,2194,1160000,3081,TRUE,7898400,0.8,"yes"
"251","LJK",9.6e+08,60,90,2332,1570000,26511,TRUE,12592800,1.3,"yes"
"252","FRJ",4.94e+08,20,90,746,426067,14411,TRUE,1342800,0.3,"yes"
"253","FRJ",4.98e+08,40,90,822,911000,14921,TRUE,2959200,0.6,"yes"
"254","FRJ",4.99e+08,60,90,978,1340000,23371,TRUE,5281200,1.1,"yes"
"255","CHG",4.69e+08,20,90,678,308897,17641,FALSE,1220400,0.3,"yes"
"256","CHG",4.71e+08,40,90,779,549936,14131,TRUE,2804400,0.6,"yes"
"257","CHG",4.74e+08,60,90,864,902000,23221,TRUE,4665600,1,"yes"
"258","ZTI",7.59e+08,20,90,1199,312000,14611,NA,2158200,0.3,"yes"
"259","ZTI",7.62e+08,40,90,1277,425488,144181,NA,4597200,0.6,"yes"
"260","ZTI",7.65e+08,60,90,1400,679886,21791,NA,7560000,1,"yes"
"261","BST",6.45e+08,40,90,1202,465998,30181,NA,4327200,0.7,"yes"
"262","BST",6.48e+08,60,90,1275,715620,20701,NA,6885000,1.1,"yes"
