"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent","ice_thickness"
"1","PYO",14422.205101856,20,70,7.1420365747068,13.8254608888174,6241,TRUE,14.3862640903102,-0.105360515657826,"no",70
"2","LWI",12165.5250605964,20,70,6.99209642741589,12.7574546285385,4697,FALSE,14.2363239430192,0,"no",70
"3","LWI",12247.4487139159,40,70,7.06133436691044,13.4601775703421,7601,TRUE,14.9987090630737,0.78845736036427,"no",70
"4","LWI",12288.2057274445,60,70,7.17548971362422,13.4249537665892,10713,TRUE,15.5183295178957,1.28093384546206,"no",70
"5","WCZ",28982.7534923789,20,70,7.6685611080159,13.3245496510701,12249,TRUE,14.9127886236192,-0.916290731874155,"no",70
"6","WCZ",29068.8837074973,40,70,7.66293785046154,13.6845051152975,16217,TRUE,15.6003125466248,-0.356674943938732,"no",70
"7","WCZ",29154.7594742265,60,70,7.743269700829,14.1448143051069,29097,TRUE,16.0861095051005,0.0953101798043249,"no",70
"8","ZVB",28195.7443597434,20,70,7.65302041380419,12.9149479875418,18145,FALSE,14.8972479294075,-0.916290731874155,"no",70
"9","ZVB",28266.5880502051,40,70,7.69074316354187,13.8254608888174,22393,TRUE,15.6281178597052,-0.22314355131421,"no",70
"10","PJJ",9777.52524926425,20,70,6.51025834052315,13.2122040814041,4065,TRUE,13.7544858561265,0,"no",70
"11","PJJ",9838.69910099907,40,70,6.65157187358973,13.8254608888174,5329,TRUE,14.588946569753,0.78845736036427,"no",70
"12","PJJ",9914.63564635635,60,70,6.79570577517351,14.2537654888954,8113,TRUE,15.138545579445,1.33500106673234,"no",70
"13","QWZ",13674.7943311773,20,70,6.92264389147589,13.0411533219788,6448,FALSE,14.1668714070792,-0.22314355131421,"no",70
"14","QWZ",13711.3092008021,40,70,7.00306545878646,13.7525707581904,6991,TRUE,14.9404401549498,0.470003629245736,"no",70
"15","QWZ",13784.0487520902,60,70,7.13568734702814,14.1661674295774,9945,TRUE,15.4785271512996,1.02961941718116,"no",70
"16","HFL",17916.4728671689,20,70,8.16933639592839,13.2996723923747,592,TRUE,15.4135639115317,0.405465108108164,"no",70
"17","HFL",18110.7702762748,40,70,8.11432470915534,14.0931422945626,1,TRUE,16.0516994053186,1.06471073699243,"no",70
"18","HFL",18303.0052177231,60,70,8.12769985281777,14.1801536715522,14257,TRUE,16.4705396570892,1.43508452528932,"no",70
"19","BSS",10535.6537528527,20,70,6.97914527506881,12.7541940540399,4393,FALSE,14.2233727906722,0.336472236621213,"no",70
"20","BSS",10630.1458127346,40,70,7.06304816338817,13.5171045221495,6393,TRUE,15.0004228595515,1.06471073699243,"no",70
"21","BSS",10723.8052947636,60,70,7.14440718032114,13.9377281906885,8281,TRUE,15.4872469845926,1.52605630349505,"no",70
"22","BCS",12041.5945787923,20,70,7.56786260546388,13.1102907961701,4873,FALSE,14.8120901210672,0.641853886172395,"no",70
"23","BCS",12165.5250605964,40,70,7.69302574841789,13.5797882244432,2489,TRUE,15.6304004445812,1.41098697371026,"no",70
"24","BCS",12328.828005938,60,70,7.73193072194849,13.4842248480304,32065,TRUE,16.0747705262199,1.84054963339749,"no",70
"25","RGN",32403.7034920393,40,70,8.48941081040379,13.9198705732885,23097,TRUE,16.4267855065671,0.262364264467491,"no",70
"26","RGN",32557.6411921994,60,70,8.49351506406166,14.1939469936845,25385,TRUE,16.8363548683331,0.641853886172395,"no",70
"27","FPS",34641.0161513775,40,70,8.50451313825886,13.5541457938299,26409,TRUE,16.4418878344222,0.182321556793955,"no",70
"28","FPS",34641.0161513775,60,70,8.52118521268578,14.0143614167094,26153,TRUE,16.8640250169572,0.587786664902119,"no",70
"29","WXE",33166.247903554,40,70,8.22013395715186,13.608159151722,23369,TRUE,16.1575086533152,-0.105360515657826,"no",70
"30","WXE",33316.6624979154,60,70,8.31016902198191,14.1448143051069,29537,TRUE,16.6530088262534,0.405465108108164,"no",70
"31","IWV",31937.4388453426,40,70,8.05293303679757,13.8737794660882,14889,TRUE,15.9903077329609,-0.105360515657826,"no",70
"32","RFC",12688.5775404495,20,70,7.31455283232408,12.8400004664301,8641,FALSE,14.5587803479274,0.262364264467491,"no",70
"33","RFC",12806.2484748657,40,70,7.34083555412327,13.404530269168,7081,TRUE,15.2782102502866,0.955511445027436,"no",70
"34","RFC",12922.8479833201,60,70,7.43543801981455,13.5325055310635,12945,TRUE,15.778277824086,1.45861502269952,"no",70
"35","MUX",30757.1129984594,20,70,7.31121838441963,12.9503881126645,86337,FALSE,14.555445900023,-1.6094379124341,"no",70
"36","MUX",30822.0700148449,40,70,7.31455283232408,13.7557605535585,15289,TRUE,15.2519275284874,-0.916290731874155,"no",70
"37","MUX",30886.890422961,60,70,7.39141523467536,14.1801536715522,30545,TRUE,15.7342550389468,-0.356674943938732,"no",70
"38","XLL",30413.8126514911,20,70,8.54110501146255,12.896716695872,132329,FALSE,15.7853325270659,-0.22314355131421,"no",70
"39","XLL",30545.0486986025,40,70,8.55583681500844,13.3908626304393,100401,TRUE,16.4932115111717,0.470003629245736,"no",70
"40","XLL",30675.7233003559,60,70,8.57111303340567,13.672411252784,145489,TRUE,16.9139528376771,0.8754687373539,"no",70
"41","RPD",29765.7521322744,20,70,7.89618060861549,12.7396377562657,66401,FALSE,15.1404081242188,-0.916290731874155,"no",70
"42","RPD",29849.6231131986,40,70,7.9402277651457,13.3692234553359,92849,TRUE,15.877602461309,-0.105360515657826,"no",70
"43","RPD",29933.2590941915,60,70,8.06934236681164,13.7667508933297,23649,TRUE,16.4121821710831,0.405465108108164,"no",70
"44","VVV",29512.7091267474,40,70,8.07402621612406,13.3063502135173,105137,TRUE,16.0114009122874,0,"no",70
"45","VVV",29614.1857899217,60,70,8.14409846333852,13.6486386385262,110617,TRUE,16.48693826761,0.470003629245736,"no",70
"46","IKY",5504.54357780915,20,70,6.24027584517077,12.5532021766254,8169,FALSE,13.4845033607741,0.8754687373539,"no",70
"47","IKY",5576.73739743947,40,70,6.34035930372775,13.315453412126,2977,FALSE,14.277733999891,1.62924053973028,"no",70
"48","IKY",5674.50438364444,60,70,6.58202513889283,13.6300191825995,4769,TRUE,14.9248649431643,2.24070968927596,"no",70
"49","BRW",23832.750575626,20,70,7.89394513823596,12.9204699346914,50369,NA,15.1381726538393,-0.356674943938732,"no",70
"50","BRW",23916.5214862028,40,70,7.9291264873068,13.4977691980491,13985,NA,15.8665011834701,0.336472236621213,"no",70
"51","BRW",24000,60,70,7.99900721324395,13.9465388203707,17681,NA,16.3418470175154,0.78845736036427,"no",70
"52","IFE",32557.6411921994,20,70,7.6515955738576,12.9336212528075,272993,FALSE,14.895823089461,-1.20397280432594,"no",70
"53","IFE",32710.8544675923,40,70,7.68386398025643,13.8831692064381,24321,TRUE,15.6212386764197,-0.510825623765991,"no",70
"54","IFE",32710.8544675923,60,70,7.77653502818524,14.1731850022361,21233,TRUE,16.1193748324567,-0.105360515657826,"no",70
"55","LJK",27604.3474836845,20,70,8.07961802938984,13.7674121544732,361,TRUE,15.3238455449932,-0.510825623765991,"no",70
"56","LJK",27694.7648482525,40,70,8.1086232683546,14.1448143051069,2465,TRUE,16.0459979645179,0.182321556793955,"no",70
"57","LJK",27784.8879788996,60,70,8.150467911624,14.3102067998004,3185,TRUE,16.4933077158955,0.641853886172395,"no",70
"58","FRJ",19924.8588451713,20,70,7.26262860097424,13.3148151168639,8065,TRUE,14.5068561165776,-0.693147180559945,"no",70
"59","FRJ",20000,40,70,7.30653139893951,14.0855376951773,11809,TRUE,15.2439060951028,0,"no",70
"60","CHG",19442.2220952236,20,70,7.57147364885127,12.8661360433985,14113,FALSE,14.8157011644546,-0.356674943938732,"no",70
"61","CHG",19544.8202856921,40,70,7.60837447438078,13.4596552780092,11409,TRUE,15.5457491705441,0.405465108108164,"no",70
"62","CHG",19621.4168703486,60,70,7.68478394352278,13.8924715991004,18977,TRUE,16.0276237477942,0.8754687373539,"no",70
"63","ZTI",24677.9253585061,20,70,7.73718007783463,12.7635003270201,83073,NA,14.981407593438,-0.693147180559945,"no",70
"64","ZTI",24738.633753706,40,70,7.75833346749091,13.499985783262,13369,NA,15.6957081636542,0.0953101798043249,"no",70
"65","ZTI",24819.3472919817,60,70,7.8188324438034,14.1375940571334,17721,NA,16.1616722480749,0.53062825106217,"no",70
"66","BST",22715.6333832011,20,70,7.63626960337937,12.8623716961341,41785,NA,14.8804971189827,-0.510825623765991,"no",70
"67","BST",22781.571499789,40,70,7.67089483136212,13.3103621217626,13833,NA,15.6082695275254,0.182321556793955,"no",70
"68","BST",22847.3193175917,60,70,7.7341213033283,13.7674971420478,19753,NA,16.0769611075998,0.587786664902119,"no",70
"69","PYO",16124.5154965971,20,90,7.16006920759613,13.6365142663429,7801,TRUE,14.6556111514804,-0.105360515657826,"no",90
"70","PYO",16217.2747402269,40,90,7.23417717974985,14.1731850022361,15381,TRUE,15.4228663041941,0.641853886172395,"no",90
"71","LWI",13601.4705087354,20,90,6.99301512293296,12.557711429276,38401,FALSE,14.4885570668172,0.0953101798043249,"no",90
"72","LWI",13674.7943311773,40,90,7.06133436691044,13.2696983112871,9501,TRUE,15.2500234913546,0.78845736036427,"no",90
"73","LWI",13784.0487520902,60,90,7.1777824161952,13.7952405014401,13391,TRUE,15.7719366487476,1.30833281965018,"no",90
"74","WCZ",32403.7034920393,20,90,7.69348164083518,12.9019785173997,15311,TRUE,15.1890235847194,-0.916290731874155,"no",90
"75","WCZ",32557.6411921994,40,90,7.66199755890189,13.3679883178675,20271,TRUE,15.8506866833461,-0.356674943938732,"no",90
"76","WCZ",32557.6411921994,60,90,7.76387128782022,13.8643007221337,36371,TRUE,16.3580255203726,0.182321556793955,"no",90
"77","ZVB",31527.7655408689,20,90,7.65302041380419,12.8839132762727,62411,FALSE,15.1485623576884,-0.916290731874155,"no",90
"78","ZVB",31606.9612585582,40,90,7.68294316987829,13.552854050798,27991,TRUE,15.8716322943225,-0.22314355131421,"no",90
"79","ZVB",31780.4971641414,60,90,7.72134861261795,13.9377281906885,30341,TRUE,16.3155028451703,0.182321556793955,"no",90
"80","PJJ",10954.4511501033,20,90,6.51174532964473,12.8696519738076,5081,TRUE,14.007287273529,0,"no",90
"81","PJJ",11000,40,90,6.68461172766793,13.4811700475993,661,TRUE,14.8733008521121,0.8754687373539,"no",90
"82","PJJ",11090.5365064094,60,90,6.7945865808765,13.9377281906885,10141,TRUE,15.3887408134289,1.3609765531356,"no",90
"83","QWZ",15264.3375224737,20,90,6.92264389147589,12.7299635456456,33501,FALSE,14.4181858353601,-0.22314355131421,"no",90
"84","QWZ",15329.7097167559,40,90,7.00033446027523,13.4657956225898,8741,TRUE,15.1890235847194,0.53062825106217,"no",90
"85","QWZ",15394.8043183407,60,90,7.1777824161952,13.9016882542053,12431,TRUE,15.7719366487476,1.09861228866811,"no",90
"86","HFL",20049.9376557634,20,90,8.17498453294309,13.4408331083949,12431,TRUE,15.6705264768273,0.470003629245736,"no",90
"87","HFL",20248.4567313166,40,90,8.14902386805177,14.1591002623544,1,TRUE,16.337712992496,1.09861228866811,"no",90
"88","HFL",20469.4894904587,60,90,8.12326131912175,14.1731850022361,17821,TRUE,16.7174155516741,1.45861502269952,"no",90
"89","BSS",11916.375287813,40,90,7.09174211509515,13.1666979157134,7771,TRUE,15.2804312395394,1.09861228866811,"no",90
"90","BSS",12000,60,90,7.16162200293919,13.570010195201,10351,TRUE,15.7557762354916,1.56861591791385,"no",90
"91","BCS",13453.6240470737,20,90,7.57763383260273,12.7780855563163,6091,FALSE,15.073175776487,0.641853886172395,"no",90
"92","BCS",13601.4705087354,40,90,7.67229245562876,13.2973178638527,3111,TRUE,15.860981580073,1.43508452528932,"no",90
"93","BCS",13820.2749610853,60,90,7.76046702921342,13.2148276933951,40081,TRUE,16.3546212617658,1.88706964903238,"no",90
"94","RGN",36193.9221417077,40,90,8.48652777710535,13.6123424131367,21721,TRUE,16.6752169015496,0.262364264467491,"no",90
"95","RGN",36331.8042491699,60,90,8.48899945704546,13.9552725003394,31731,TRUE,17.0831536895978,0.693147180559945,"no",90
"96","FPS",38729.8334620742,40,90,8.57111303340567,13.0438892721638,229531,TRUE,16.7598021578499,0.262364264467491,"no",90
"97","FPS",38858.7184554509,60,90,8.62766064444221,13.3906118344667,242271,TRUE,17.2218148769946,0.693147180559945,"no",90
"98","WXE",37013.5110466435,20,90,8.20576472523446,12.437874604415,118591,FALSE,15.7013066691187,-0.693147180559945,"no",90
"99","WXE",37148.3512420134,40,90,8.22416351263786,13.361728248822,36481,TRUE,16.4128526370821,0,"no",90
"100","WXE",37282.7037646145,60,90,8.31947369244219,13.8254608888174,36921,TRUE,16.9136279249946,0.470003629245736,"no",90
"101","IWV",35637.0593624109,40,90,8.07806788181544,13.6057310585769,18611,TRUE,16.2667570062596,-0.105360515657826,"no",90
"102","IWV",35777.0876399966,60,90,8.13476078241865,13.9639305630825,41441,TRUE,16.728915014971,0.336472236621213,"no",90
"103","RFC",14177.4468787578,20,90,7.33236920592906,12.7708181112856,10801,FALSE,14.8279111498133,0.336472236621213,"no",90
"104","RFC",14317.8210632764,40,90,7.3664451483276,13.030947405321,8851,TRUE,15.5551342727718,1.02961941718116,"no",90
"105","RFC",14456.832294801,60,90,7.43602781635185,13.197671200877,NA,TRUE,16.0301820489042,1.48160454092422,"no",90
"106","MUX",34496.3766213207,40,90,7.3375877435386,13.5965532321683,20711,TRUE,15.5262768679828,-0.693147180559945,"no",90
"107","MUX",34496.3766213207,60,90,7.40610338123702,14.0386541092785,30221,TRUE,16.0002576137894,-0.356674943938732,"no",90
"108","XLL",34058.7727318528,20,90,8.53464010501996,12.9059247974465,165411,FALSE,16.0301820489042,-0.22314355131421,"no",90
"109","XLL",34205.2627529741,40,90,8.50451313825886,13.1840472027725,153561,TRUE,16.6932022627031,0.405465108108164,"no",90
"110","XLL",34351.1280746353,60,90,8.56997537685521,13.4731540428836,206851,TRUE,17.1641296094076,0.8754687373539,"no",90
"111","RPD",33316.6624979154,20,90,7.89543600694297,12.6777373943525,44551,FALSE,15.3909779508272,-0.916290731874155,"no",90
"112","RPD",33316.6624979154,40,90,7.89095671613892,13.2051076632962,22291,TRUE,16.0796458405831,-0.105360515657826,"no",90
"113","VVV",33166.247903554,60,90,8.13827263853019,13.4915945607958,49601,TRUE,16.7324268710826,0.53062825106217,"no",90
"114","IKY",6156.29758864855,20,90,6.2363695902037,12.3509216269539,10211,FALSE,13.731911534088,0.8754687373539,"no",90
"115","IKY",6244.9979983984,40,90,6.34388043412633,13.1746825454036,4644,FALSE,14.5325695585705,1.66770682055808,"no",90
"116","IKY",6379.65516309463,60,90,6.58063913728495,13.2539230775201,5961,TRUE,15.1747933698373,2.26176309847379,"no",90
"117","BRW",26645.8251889485,20,90,7.90322680873073,12.8083838719932,62961,NA,15.398768752615,-0.356674943938732,"no",90
"118","BRW",26739.4839142419,40,90,7.93701748951545,13.296005711811,17481,NA,16.1257066139597,0.336472236621213,"no",90
"119","IFE",36469.1650576209,20,90,7.65207074611648,12.7830988459539,3471,FALSE,15.1476126900007,-1.20397280432594,"no",90
"120","IFE",36495.4791720838,40,90,7.68478394352278,13.7622142061644,30401,TRUE,15.873473067967,-0.510825623765991,"no",90
"121","IFE",36606.0104354463,60,90,7.77946696745832,14.0225247273486,26541,TRUE,16.3736212000107,0,"no",90
"122","LJK",30870.6980808663,20,90,8.08579470128157,13.4776797989693,441,TRUE,15.5813366451658,-0.510825623765991,"no",90
"123","LJK",30967.725134404,40,90,8.11102783819368,13.9198705732885,3081,TRUE,16.2997169626379,0.262364264467491,"no",90
"124","LJK",31094.3724812063,60,90,8.15248607578024,14.1870741143968,27791,TRUE,16.7466403083326,0.641853886172395,"no",90
"125","FRJ",22271.0574513201,20,90,7.26473017792987,13.0427290863174,10081,TRUE,14.7602721218141,-0.693147180559945,"no",90
"126","FRJ",22338.3079036887,40,90,7.31188616407716,13.8547312711176,18781,TRUE,15.5005752885214,0.0953101798043249,"no",90
"127","FRJ",22427.6614920058,60,90,7.38150189450671,14.1229952577122,19241,TRUE,15.9756561270591,0.53062825106217,"no",90
"128","CHG",21748.5631709315,20,90,7.68845535654994,12.6909063880217,33151,FALSE,15.1839973004342,-0.22314355131421,"no",90
"129","CHG",21794.4947177034,40,90,7.7367436824535,13.0703919584054,47581,TRUE,15.9254328068977,0.53062825106217,"no",90
"130","CHG",21931.7121994613,60,90,7.91899248816525,13.6219258088916,14381,TRUE,16.5131467207176,1.1314021114911,"no",90
"131","ZTI",27586.2284482674,20,90,7.7367436824535,12.6382932776135,103841,NA,15.2322856263378,-0.693147180559945,"no",90
